"transaction_id","amount","user_id","hour","merchant","location","card_type","risk_score","fraud_reason","risk_level","is_fraud_flag","time","diff"
"61415FA6","6129.89","USER_0043","4","IRCTC","Ahmedabad","RuPay","90","HIGH AMOUNT ($6,129.89 > $5000) | OFF-HOURS (hour=4:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366410","1"
"A71B98A0","12210.25","USER_0034","5","Netflix","Ahmedabad","RuPay","90","HIGH AMOUNT ($12,210.25 > $5000) | OFF-HOURS (hour=5:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366410","1"
"34732C36","3815.46","USER_0040","9","IRCTC","Bangalore","RuPay","0","CLEAN","CLEAN","False","1772125366410","1"
"E57136D2","4394.62","USER_0025","12","Amazon","Hyderabad","Amex","0","CLEAN","CLEAN","False","1772125366410","1"
"A6998449","3922.97","USER_0026","18","CryptoExchange_BuyBit","Bangalore","Mastercard","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366410","1"
"D3E511C2","2088.4","USER_0013","19","CasinoRoyal","Kolkata","RuPay","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366412","1"
"BC7AE2A2","3582.22","USER_0005","5","Reliance Mart","Jaipur","Mastercard","50","OFF-HOURS (hour=5:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366412","1"
"A85AE6F7","3307.59","USER_0044","6","CasinoRoyal","Mumbai","Mastercard","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366412","1"
"4A7846F7","432.74","USER_0008","16","IRCTC","Kolkata","Mastercard","0","CLEAN","CLEAN","False","1772125366412","1"
"691B43BA","1422.43","USER_0026","14","Myntra","Jaipur","Mastercard","0","CLEAN","CLEAN","False","1772125366412","1"
"CF3A0835","8533.98","USER_0017","1","Netflix","Pune","Amex","90","HIGH AMOUNT ($8,533.98 > $5000) | OFF-HOURS (hour=1:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366412","1"
"07421C5E","2019.28","USER_0046","9","Flipkart","Surat","Visa","0","CLEAN","CLEAN","False","1772125366412","1"
"B54AE20B","1350.06","USER_0001","14","D-Mart","Hyderabad","RuPay","0","CLEAN","CLEAN","False","1772125366414","1"
"62C4244E","2501.44","USER_0021","6","WireTransfer_Global","Delhi","Visa","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366414","1"
"41266D7E","13079.15","USER_0011","3","Swiggy","Surat","Mastercard","90","HIGH AMOUNT ($13,079.15 > $5000) | OFF-HOURS (hour=3:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366414","1"
"A7D8690F","1889.52","USER_0020","17","WireTransfer_Global","Mumbai","Mastercard","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366414","1"
"C56A6E0F","1636.31","USER_0005","21","WireTransfer_Global","Kolkata","Amex","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366414","1"
"2CF4F8FC","2796.97","USER_0029","8","Amazon","Delhi","Amex","0","CLEAN","CLEAN","False","1772125366414","1"
"DCA66C03","4374.49","USER_0031","10","Myntra","Pune","RuPay","0","CLEAN","CLEAN","False","1772125366414","1"
"8D929AD8","4188.29","USER_0037","11","MedPlus Pharmacy","Bangalore","RuPay","0","CLEAN","CLEAN","False","1772125366416","1"
"F4D7B53D","3547.29","USER_0037","6","Reliance Mart","Pune","RuPay","0","CLEAN","CLEAN","False","1772125366416","1"
"5D998E0A","1940.18","USER_0010","22","Reliance Mart","Hyderabad","Mastercard","0","CLEAN","CLEAN","False","1772125366416","1"
"CE22F1D3","2355.21","USER_0023","21","Myntra","Delhi","RuPay","0","CLEAN","CLEAN","False","1772125366416","1"
"4AA77A1D","252.11","USER_0015","9","Ola","Ahmedabad","RuPay","0","CLEAN","CLEAN","False","1772125366416","1"
"69C49A56","460.15","USER_0014","20","CryptoExchange_BuyBit","Surat","Visa","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366418","1"
"58635CC1","2554.61","USER_0050","3","Zomato","Hyderabad","RuPay","50","OFF-HOURS (hour=3:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366418","1"
"39EFBB9C","4186.86","USER_0031","3","Netflix","Surat","Amex","50","OFF-HOURS (hour=3:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366418","1"
"AEF81FEF","4395.07","USER_0050","23","Ola","Kolkata","RuPay","0","CLEAN","CLEAN","False","1772125366418","1"
"0096DD76","1964.11","USER_0044","16","CasinoRoyal","Chennai","Mastercard","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366418","1"
"37B6EE56","2118.32","USER_0040","1","Reliance Mart","Surat","Amex","50","OFF-HOURS (hour=1:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366418","1"
"0287ADCB","7591.77","USER_0045","5","Myntra","Hyderabad","Visa","90","HIGH AMOUNT ($7,591.77 > $5000) | OFF-HOURS (hour=5:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366418","1"
"749D946D","12416.23","USER_0001","2","BookMyShow","Delhi","RuPay","90","HIGH AMOUNT ($12,416.23 > $5000) | OFF-HOURS (hour=2:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366418","1"
"B81EEA84","21045.17","USER_0028","2","MedPlus Pharmacy","Bangalore","Mastercard","90","HIGH AMOUNT ($21,045.17 > $5000) | OFF-HOURS (hour=2:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366418","1"
"4872BC94","862.87","USER_0006","22","WireTransfer_Global","Pune","Amex","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366418","1"
"933279C9","441.77","USER_0028","20","Zomato","Jaipur","RuPay","0","CLEAN","CLEAN","False","1772125366418","1"
"99659F06","314.97","USER_0017","23","CasinoRoyal","Hyderabad","Visa","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366418","1"
"8DE1A371","2801.08","USER_0034","14","Zomato","Bangalore","RuPay","0","CLEAN","CLEAN","False","1772125366418","1"
"7093C126","3650.12","USER_0045","10","Zomato","Kolkata","Visa","0","CLEAN","CLEAN","False","1772125366418","1"
"9698C8F1","19831.29","USER_0012","3","CasinoRoyal","Jaipur","Amex","100","HIGH AMOUNT ($19,831.29 > $5000) | OFF-HOURS (hour=3:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366418","1"
"CDE89421","3893.45","USER_0036","20","BigBasket","Surat","RuPay","0","CLEAN","CLEAN","False","1772125366418","1"
"08ED32E7","1975.54","USER_0026","8","WireTransfer_Global","Delhi","Amex","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366420","1"
"344E934E","1060.0","USER_0002","16","Zomato","Kolkata","Visa","0","CLEAN","CLEAN","False","1772125366420","1"
"B054FCDC","1314.51","USER_0020","23","BookMyShow","Surat","Amex","0","CLEAN","CLEAN","False","1772125366420","1"
"56457DB1","1172.25","USER_0042","17","Ola","Delhi","RuPay","0","CLEAN","CLEAN","False","1772125366420","1"
"0B18A82B","4426.15","USER_0005","21","Amazon","Hyderabad","Amex","0","CLEAN","CLEAN","False","1772125366420","1"
"DC4FA4FA","24872.81","USER_0046","5","Flipkart","Delhi","Mastercard","90","HIGH AMOUNT ($24,872.81 > $5000) | OFF-HOURS (hour=5:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366422","1"
"A40EE056","17159.0","USER_0012","1","Reliance Mart","Surat","Visa","90","HIGH AMOUNT ($17,159.00 > $5000) | OFF-HOURS (hour=1:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366422","1"
"48133898","1596.01","USER_0042","22","CryptoExchange_BuyBit","Kolkata","RuPay","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366422","1"
"2B1834A9","2687.39","USER_0046","20","Ola","Hyderabad","RuPay","0","CLEAN","CLEAN","False","1772125366422","1"
"4BEE9629","1317.17","USER_0005","15","Myntra","Delhi","Mastercard","0","CLEAN","CLEAN","False","1772125366422","1"
"A3F3B606","4035.93","USER_0028","19","IRCTC","Pune","Amex","0","CLEAN","CLEAN","False","1772125366424","1"
"02A919B5","22420.11","USER_0006","0","WireTransfer_Global","Bangalore","Visa","100","HIGH AMOUNT ($22,420.11 > $5000) | OFF-HOURS (hour=0:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366424","1"
"EBAC5770","1876.89","USER_0046","17","Uber","Chennai","Visa","0","CLEAN","CLEAN","False","1772125366424","1"
"AE435E5C","20291.93","USER_0027","5","BigBasket","Delhi","Visa","90","HIGH AMOUNT ($20,291.93 > $5000) | OFF-HOURS (hour=5:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366424","1"
"E944A009","2226.33","USER_0013","10","WireTransfer_Global","Ahmedabad","Amex","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366424","1"
"65E92070","2607.13","USER_0005","21","Zomato","Surat","Mastercard","0","CLEAN","CLEAN","False","1772125366424","1"
"7CAAB8E8","4484.48","USER_0041","23","D-Mart","Chennai","RuPay","0","CLEAN","CLEAN","False","1772125366424","1"
"03018DF2","8599.06","USER_0030","4","BookMyShow","Ahmedabad","Visa","90","HIGH AMOUNT ($8,599.06 > $5000) | OFF-HOURS (hour=4:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366424","1"
"AEDEECE9","1669.89","USER_0008","5","Zomato","Ahmedabad","RuPay","50","OFF-HOURS (hour=5:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366424","1"
"9DD57F46","305.62","USER_0030","16","CryptoExchange_BuyBit","Mumbai","Amex","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366424","1"
"42B5714F","3520.55","USER_0036","6","IRCTC","Delhi","Mastercard","0","CLEAN","CLEAN","False","1772125366426","1"
"FD508C71","3866.64","USER_0021","6","Swiggy","Kolkata","Amex","0","CLEAN","CLEAN","False","1772125366426","1"
"80693C4F","4116.79","USER_0007","13","Zomato","Bangalore","Amex","0","CLEAN","CLEAN","False","1772125366426","1"
"77DDF410","3005.77","USER_0010","10","CasinoRoyal","Pune","Mastercard","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366428","1"
"5FCA9A33","2570.5","USER_0035","19","Amazon","Delhi","Visa","0","CLEAN","CLEAN","False","1772125366428","1"
"B87DE02D","337.0","USER_0038","9","Uber","Bangalore","Visa","0","CLEAN","CLEAN","False","1772125366428","1"
"EBF7AE7D","1970.4","USER_0005","15","BookMyShow","Chennai","RuPay","0","CLEAN","CLEAN","False","1772125366428","1"
"345E18C1","2576.34","USER_0049","20","Flipkart","Delhi","Amex","0","CLEAN","CLEAN","False","1772125366428","1"
"B4E0CDB5","631.88","USER_0049","12","MedPlus Pharmacy","Ahmedabad","Amex","0","CLEAN","CLEAN","False","1772125366428","1"
"1291C2DE","1696.88","USER_0002","18","Amazon","Mumbai","Amex","0","CLEAN","CLEAN","False","1772125366428","1"
"EA74D62F","3134.16","USER_0003","19","BigBasket","Kolkata","Amex","0","CLEAN","CLEAN","False","1772125366428","1"
"CEBAC3E3","8500.96","USER_0048","0","Swiggy","Kolkata","Amex","90","HIGH AMOUNT ($8,500.96 > $5000) | OFF-HOURS (hour=0:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366428","1"
"663B7C34","1250.37","USER_0003","8","CryptoExchange_BuyBit","Mumbai","Visa","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366428","1"
"E9273070","2074.62","USER_0018","18","CryptoExchange_BuyBit","Mumbai","Visa","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366428","1"
"CBCEC392","357.47","USER_0030","11","Flipkart","Jaipur","RuPay","0","CLEAN","CLEAN","False","1772125366428","1"
"8E5CD956","4195.17","USER_0019","12","Amazon","Delhi","Visa","0","CLEAN","CLEAN","False","1772125366430","1"
"B079CD82","3356.42","USER_0020","13","BigBasket","Surat","Amex","0","CLEAN","CLEAN","False","1772125366430","1"
"B610E06F","3934.42","USER_0034","17","Swiggy","Pune","Visa","0","CLEAN","CLEAN","False","1772125366430","1"
"507DDDCF","11916.4","USER_0002","1","WireTransfer_Global","Hyderabad","RuPay","100","HIGH AMOUNT ($11,916.40 > $5000) | OFF-HOURS (hour=1:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366430","1"
"81F7F4A4","1776.65","USER_0050","10","Netflix","Ahmedabad","Visa","0","CLEAN","CLEAN","False","1772125366430","1"
"1B398A8B","3734.17","USER_0004","10","Flipkart","Chennai","Visa","0","CLEAN","CLEAN","False","1772125366430","1"
"B950442D","5163.86","USER_0020","2","WireTransfer_Global","Delhi","Amex","100","HIGH AMOUNT ($5,163.86 > $5000) | OFF-HOURS (hour=2:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366432","1"
"B69A5636","5071.38","USER_0049","3","Amazon","Bangalore","Visa","90","HIGH AMOUNT ($5,071.38 > $5000) | OFF-HOURS (hour=3:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366432","1"
"BB4C3120","1870.98","USER_0010","17","WireTransfer_Global","Mumbai","Visa","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366432","1"
"1C85ADC8","3383.98","USER_0002","5","MedPlus Pharmacy","Ahmedabad","RuPay","50","OFF-HOURS (hour=5:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366432","1"
"947BDE32","5595.06","USER_0013","3","Swiggy","Bangalore","Visa","90","HIGH AMOUNT ($5,595.06 > $5000) | OFF-HOURS (hour=3:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366432","1"
"D62AF753","986.89","USER_0040","13","Flipkart","Ahmedabad","Visa","0","CLEAN","CLEAN","False","1772125366432","1"
"E0CAD7FA","3038.18","USER_0010","10","CasinoRoyal","Chennai","Mastercard","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366432","1"
"10F8D50A","23020.21","USER_0032","3","WireTransfer_Global","Hyderabad","RuPay","100","HIGH AMOUNT ($23,020.21 > $5000) | OFF-HOURS (hour=3:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366432","1"
"7EE2A6D9","8809.44","USER_0037","3","WireTransfer_Global","Mumbai","Amex","100","HIGH AMOUNT ($8,809.44 > $5000) | OFF-HOURS (hour=3:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366432","1"
"B012F1DB","3765.42","USER_0012","21","D-Mart","Chennai","Mastercard","0","CLEAN","CLEAN","False","1772125366432","1"
"360C2F3E","24436.46","USER_0015","1","MedPlus Pharmacy","Pune","Visa","90","HIGH AMOUNT ($24,436.46 > $5000) | OFF-HOURS (hour=1:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366432","1"
"09081F76","22262.31","USER_0043","3","Amazon","Delhi","Amex","90","HIGH AMOUNT ($22,262.31 > $5000) | OFF-HOURS (hour=3:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366434","1"
"DA8E9E33","17492.38","USER_0011","3","Zomato","Pune","RuPay","90","HIGH AMOUNT ($17,492.38 > $5000) | OFF-HOURS (hour=3:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366434","1"
"04141195","797.37","USER_0034","10","Reliance Mart","Surat","Mastercard","0","CLEAN","CLEAN","False","1772125366434","1"
"6D331DCB","10421.85","USER_0004","0","Reliance Mart","Chennai","Amex","90","HIGH AMOUNT ($10,421.85 > $5000) | OFF-HOURS (hour=0:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366434","1"
"1057C60D","13538.39","USER_0047","2","Myntra","Bangalore","Visa","90","HIGH AMOUNT ($13,538.39 > $5000) | OFF-HOURS (hour=2:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366434","1"
"5B9695F9","4053.63","USER_0039","19","WireTransfer_Global","Delhi","Mastercard","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366436","1"
"3B2F18F9","15571.25","USER_0007","0","WireTransfer_Global","Bangalore","RuPay","100","HIGH AMOUNT ($15,571.25 > $5000) | OFF-HOURS (hour=0:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366436","1"
"4354354F","19394.72","USER_0003","1","Ola","Mumbai","Amex","90","HIGH AMOUNT ($19,394.72 > $5000) | OFF-HOURS (hour=1:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366436","1"
"C8C122C5","4267.11","USER_0005","18","Netflix","Bangalore","Visa","0","CLEAN","CLEAN","False","1772125366436","1"
"5158E438","2489.07","USER_0036","21","MedPlus Pharmacy","Hyderabad","Amex","0","CLEAN","CLEAN","False","1772125366436","1"
"FC9ACCB2","2982.36","USER_0032","2","Ola","Pune","RuPay","50","OFF-HOURS (hour=2:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366436","1"
"D4D10BE2","1381.02","USER_0012","21","Flipkart","Surat","Visa","0","CLEAN","CLEAN","False","1772125366436","1"
"D4C289AD","5041.12","USER_0036","2","Uber","Mumbai","Mastercard","90","HIGH AMOUNT ($5,041.12 > $5000) | OFF-HOURS (hour=2:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366436","1"
"934C4FFD","742.14","USER_0018","1","BigBasket","Bangalore","Mastercard","30","OFF-HOURS (hour=1:00, between 00:00-06:00)","MEDIUM","True","1772125366436","1"
"0FF1A1FD","4123.74","USER_0047","23","Zomato","Kolkata","Mastercard","0","CLEAN","CLEAN","False","1772125366436","1"
"5EE583B1","1679.97","USER_0036","14","BookMyShow","Hyderabad","Mastercard","0","CLEAN","CLEAN","False","1772125366436","1"
"96F48063","2849.61","USER_0007","2","Swiggy","Mumbai","RuPay","50","OFF-HOURS (hour=2:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366438","1"
"EAB37F9D","3404.5","USER_0009","10","WireTransfer_Global","Chennai","Amex","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366438","1"
"54716D5E","3756.61","USER_0007","4","CasinoRoyal","Delhi","Visa","75","OFF-HOURS (hour=4:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366438","1"
"DBB8C6B9","277.71","USER_0003","11","BigBasket","Mumbai","Mastercard","0","CLEAN","CLEAN","False","1772125366440","1"
"CDF4544C","1877.93","USER_0041","23","Netflix","Delhi","Amex","0","CLEAN","CLEAN","False","1772125366440","1"
"9C12E742","3451.85","USER_0024","23","CasinoRoyal","Pune","Mastercard","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366440","1"
"DA306D1E","1079.06","USER_0015","9","Swiggy","Jaipur","Amex","0","CLEAN","CLEAN","False","1772125366440","1"
"5FD4DA7D","146.84","USER_0004","13","WireTransfer_Global","Hyderabad","Mastercard","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366440","1"
"6130C023","774.93","USER_0048","8","BookMyShow","Mumbai","Mastercard","0","CLEAN","CLEAN","False","1772125366440","1"
